x,y,path
0.7588901,0.8947764,/text
0.75889003,0.8947763,/text
0.7588903,0.89477575,/text
0.7588904,0.894776,/text
0.7588902,0.8947758,/text
0.75889033,0.8947764,/text
0.7588896,0.89477485,/text
0.7588904,0.89477617,/text
0.75889075,0.89477664,/text
0.75888973,0.8947751,/text
0.7588896,0.894775,/text
0.7588902,0.8947764,/text
0.7588901,0.894776,/text
0.7588888,0.89477557,/text
0.7588903,0.8947764,/text
0.7588885,0.894776,/text
0.7588903,0.89477664,/text
0.75889075,0.89477617,/text
0.7588903,0.89477646,/text
0.75889087,0.89477664,/text
0.7588903,0.8947764,/text
0.7588888,0.8947761,/text
0.75889075,0.89477676,/text
0.7588889,0.89477587,/text
0.75889087,0.89477664,/text
0.7588907,0.89477676,/text
0.7588906,0.894776,/text
0.758891,0.8947759,/text
0.7588898,0.8947754,/text
0.7588909,0.8947763,/text
0.3068835,0.55656856,./static/semImages/42543-04procu.jpg
0.46915162,0.44222718,./static/semImages/08840-venus_ad.jpg
0.14304474,0.2531803,./static/semImages/36600-virgin_c.jpg
0.027546158,0.44152847,./static/semImages/05912-panigar3.jpg
0.4826367,0.9113897,./static/semImages/03981-bello209.jpg
0.2700008,0.17390089,./static/semImages/14259-6corona.jpg
0.30193537,0.52063483,./static/semImages/40109-guardroo.jpg
0.44807258,0.24746948,./static/semImages/42922-5allego2.jpg
0.058944646,0.43861693,./static/semImages/16363-16figure.jpg
0.62836605,0.7428234,./static/semImages/17273-auvers33.jpg
0.43400186,0.44821024,./static/semImages/24587-lotdaugh.jpg
0.6023856,0.9200397,./static/semImages/23407-sh_wreck.jpg
0.6095211,0.79020524,./static/semImages/22806-banksein.jpg
0.21967112,0.64744014,./static/semImages/30376-fourdini.jpg
0.15502717,0.60433817,./static/semImages/14081-port_lad.jpg
0.6669325,0.8110169,./static/semImages/31699-paris081.jpg
0.14968339,0.61973536,./static/semImages/24861-dauphin.jpg
0.124714985,0.22637579,./static/semImages/15176-virgin_c.jpg
0.5814764,0.96980786,./static/semImages/29902-storm.jpg
0.4941453,0.036675956,./static/semImages/14386-grimani.jpg
0.53895855,0.8841924,./static/semImages/09829-boating.jpg
0.38201538,0.7537055,./static/semImages/28457-harvest.jpg
0.20611219,0.206114,./static/semImages/06178-02left1.jpg
0.31283927,0.62187976,./static/semImages/09199-ladyseat.jpg
0.20135622,0.7205283,./static/semImages/03503-giacinta.jpg
0.36074394,0.3401648,./static/semImages/03395-jerome.jpg
0.2167676,0.67320013,./static/semImages/13812-cleopatr.jpg
0.13638014,0.2675147,./static/semImages/10514-m_taper.jpg
0.50683624,0.8207269,./static/semImages/35737-waterfak.jpg
0.30493796,0.381083,./static/semImages/08616-marriage.jpg
0.6382804,0.15255728,./static/semImages/02788-stillif2.jpg
0.11873964,0.74531734,./static/semImages/32624-port_boy.jpg
0.1547094,0.64836794,./static/semImages/17454-margarit.jpg
0.14687434,0.5635626,./static/semImages/25165-marymag2.jpg
0.43870798,0.55607456,./static/semImages/05179-cornar05.jpg
0.41514644,0.7167017,./static/semImages/06360-01prover.jpg
0.11479948,0.33707538,./static/semImages/09099-virgin2.jpg
0.18449385,0.42610464,./static/semImages/09856-courb117.jpg
0.4964708,0.68132925,./static/semImages/39982-1misc05.jpg
0.293031,0.33785063,./static/semImages/03869-153pieta.jpg
0.5495881,0.057637442,./static/semImages/39298-00view2.jpg
0.21707812,0.079331435,./static/semImages/40763-07icon.jpg
0.6239368,0.30868092,./static/semImages/09303-vanitas9.jpg
0.099227205,0.466608,./static/semImages/05598-11judith.jpg
0.2369501,0.14887653,./static/semImages/00906-5armadio.jpg
0.036056805,0.55201644,./static/semImages/10129-20jerome.jpg
0.062976465,0.76497245,./static/semImages/19118-20scrive.jpg
0.38732907,0.35359713,./static/semImages/22047-01garmen.jpg
0.3025803,0.51612145,./static/semImages/38270-tribute.jpg
0.07534485,0.42764613,./static/semImages/15440-1cercin1.jpg
0.26026163,0.36113864,./static/semImages/10920-michael.jpg
0.4985294,0.68114907,./static/semImages/34041-2renoi22.jpg
